Kode #Nama Barang,Kode #,Nama Barang
910001VORTEX MIXER - MINI VXMNAL,910001,VORTEX MIXER - MINI VXMNAL
"910001AC - GREE 1,5 PK",910001,"AC - GREE 1,5 PK"
910001AIR CONDITIONER - GREE 2PK GWC-18M005S/A,910001,AIR CONDITIONER - GREE 2PK GWC-18M005S/A
910001APTOP SET - LENOVO THINKPAD T460,910001,APTOP SET - LENOVO THINKPAD T460
910001AUDIO MEETING - BARETONE MAX 10HE PORTABLE,910001,AUDIO MEETING - BARETONE MAX 10HE PORTABLE
910001AUDIO OJOL,910001,AUDIO OJOL
910001AUDIO SET,910001,AUDIO SET
910001AUTOCLAVE - HIRAYAMA HVE50,910001,AUTOCLAVE - HIRAYAMA HVE50
910001AUTOMATIC CUP SEALER - AUTATA ATT 95S,910001,AUTOMATIC CUP SEALER - AUTATA ATT 95S
910001BIO SAFETY CABINET - ASPLAB BSC1300APS,910001,BIO SAFETY CABINET - ASPLAB BSC1300APS
910001BOR DUDUK - LEOPARD 16MM,910001,BOR DUDUK - LEOPARD 16MM
910001BOWL CUTTER - HEAVYPRO ZB200L,910001,BOWL CUTTER - HEAVYPRO ZB200L
910001BOWL CUTTER 200L MANUAL,910001,BOWL CUTTER 200L MANUAL
910001BRANKAS - SOLINGEN BERNSTEIN SIZE 2,910001,BRANKAS - SOLINGEN BERNSTEIN SIZE 2
910001BRANKAS KOTAK 1 PINTU - BERNSTEIN SIZE 2,910001,BRANKAS KOTAK 1 PINTU - BERNSTEIN SIZE 2
910001CCTV SET,910001,CCTV SET
910001CCTV SET - HILOOK INDOOR 4IN1 5MP,910001,CCTV SET - HILOOK INDOOR 4IN1 5MP
910001CHILLER SHOWCASE - MODENA SC1303,910001,CHILLER SHOWCASE - MODENA SC1303
910001CHILLER UNDERCOUNTER - ROYALSTAR BD/BC 438,910001,CHILLER UNDERCOUNTER - ROYALSTAR BD/BC 438
910001CHILLER UNDERCOUNTER - ROYALSTAR BD/BC-438,910001,CHILLER UNDERCOUNTER - ROYALSTAR BD/BC-438
910001CHILLER UNDERCOUNTER ROYALSTAR BD/BC-438,910001,CHILLER UNDERCOUNTER ROYALSTAR BD/BC-438
910001Chiller Undercounter Turboair,910001,Chiller Undercounter Turboair
910001Cold Drink Dispenser,910001,Cold Drink Dispenser
910001CONTINOUS SEALER - 770 I PLAT,910001,CONTINOUS SEALER - 770 I PLAT
910001CONVEYOR BELT - IQF,910001,CONVEYOR BELT - IQF
910001CONVEYOR ROLLER GRAVITY,910001,CONVEYOR ROLLER GRAVITY
910001COOLING TABLE - SS 304 1800x1600x830,910001,COOLING TABLE - SS 304 1800x1600x830
910001COOLING TABLE PERFORATED - SS 304 1800x800x830,910001,COOLING TABLE PERFORATED - SS 304 1800x800x830
910001CRATCHO BEVERAGE DISPENSER E 295-4 (MINI TWIN),910001,CRATCHO BEVERAGE DISPENSER E 295-4 (MINI TWIN)
910001CUP SEALER - AUTATA ATT-955,910001,CUP SEALER - AUTATA ATT-955
910001DEEP FRYER - NAYATI GFE/40 RSP,910001,DEEP FRYER - NAYATI GFE/40 RSP
910001DEEP FRYER - NAYATI NGF 30 EC,910001,DEEP FRYER - NAYATI NGF 30 EC
910001DEEP FRYER GFE/40,910001,DEEP FRYER GFE/40
910001DISPENSER KECAP - AUTATA  ATT9L,910001,DISPENSER KECAP - AUTATA  ATT9L
910001DOUBLE KWALIE RANGE,910001,DOUBLE KWALIE RANGE
910001DOUBLE KWALIE RANGE - SS 201 1600x1000x800/1200,910001,DOUBLE KWALIE RANGE - SS 201 1600x1000x800/1200
910001DUCTING SET EXHAUST,910001,DUCTING SET EXHAUST
910001DVR CCTV,910001,DVR CCTV
910001DVR CCTV - HIKVISION,910001,DVR CCTV - HIKVISION
910001DVR CCTV - HILOOK 16 CHANEL 5IN1 5MP,910001,DVR CCTV - HILOOK 16 CHANEL 5IN1 5MP
910001DVR CCTV - HILOOK 16CH,910001,DVR CCTV - HILOOK 16CH
910001DVR HIKVISION 16CH,910001,DVR HIKVISION 16CH
910001ELECTRIC TILTING BRATT PAN - METOS VIKING MIXPAN 250,910001,ELECTRIC TILTING BRATT PAN - METOS VIKING MIXPAN 250
910001FILTER AIR - NAZAVA PASIR SILIKA FRP 10,910001,FILTER AIR - NAZAVA PASIR SILIKA FRP 10
910001FORKLIFT BATTERY - HELI H4 SERIES - CPD25 A7LiH4S,910001,FORKLIFT BATTERY - HELI H4 SERIES - CPD25 A7LiH4S
910001FREEZER - MODENA MD-65W,910001,FREEZER - MODENA MD-65W
910001FREEZER MODENA MD-65W,910001,FREEZER MODENA MD-65W
"910001FTC/RC-35NV14 AC DAIKIN 1,5PK THAILAND",910001,"FTC/RC-35NV14 AC DAIKIN 1,5PK THAILAND"
910001FTC/RC-50XV14 AC DAIKIN 2PK THAILAND,910001,FTC/RC-50XV14 AC DAIKIN 2PK THAILAND
910001GENSET,910001,GENSET
910001GENSET - TCA-50US SILENT 50 KVA + PANEL,910001,GENSET - TCA-50US SILENT 50 KVA + PANEL
910001GENSET 50 KVA+PANEL+KNALPOT,910001,GENSET 50 KVA+PANEL+KNALPOT
910001GENSET SILENT 50 KVA + PANEL,910001,GENSET SILENT 50 KVA + PANEL
910001GERINDA DUDUK - MAKITA  GB602,910001,GERINDA DUDUK - MAKITA  GB602
910001GRIDDLE - NAYATI EGFT 6-60 W/STD ECONA GAS,910001,GRIDDLE - NAYATI EGFT 6-60 W/STD ECONA GAS
910001GRIDDLE EGFT 6-60 W/STD ECONA GAS,910001,GRIDDLE EGFT 6-60 W/STD ECONA GAS
910001HANDPALLET 3 TON,910001,HANDPALLET 3 TON
910001HANDPHONE (HP) - REALME C67 8/128GB,910001,HANDPHONE (HP) - REALME C67 8/128GB
910001HANDPHONE (HP) - XIAOMI REDMI NOTE 12 8/128GB,910001,HANDPHONE (HP) - XIAOMI REDMI NOTE 12 8/128GB
